h3,value_mean,value_std,value_count,coverage_school,coverage_hospital,coverage_pharmacy,coverage_supermarket,coverage_bus_station,coverage_park,walkability_variance,accessibility_mean,population_weighted_accessibility
886015d9b1fffff,0.37791461383935143,0.01020358657934441,90,0.0,0.0,0.0,0.0,0.0,0.0,0.00010411317908217735,0.0,0.0
886015d9b3fffff,0.3838174055953893,0.1509644943484437,150,0.02,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.02279027855388129,0.06666666666666667,0.06666666666666667
886015d9b5fffff,0.3765930458097511,0.011546145991368764,64,0.0,0.0,0.0,0.0,0.0,0.0,0.00013331348725400098,0.0,0.0
886015d9b7fffff,0.38236283305112206,0.12040685083586773,133,0.0,0.022556390977443608,0.0,0.0,0.0,0.0,0.014497809728210903,0.045112781954887216,0.045112781954887216
886015d9b9fffff,0.38065199785530185,0.013011675773421922,136,0.0,0.0,0.0,0.0,0.0,0.0,0.00016930370643265498,0.0,0.0
886015d9bbfffff,0.38769385780089227,0.13180143140818468,120,0.016666666666666666,0.025,0.0,0.0,0.0,0.0,0.017371617321246414,0.06666666666666667,0.06666666666666667
886015d9bdfffff,0.37854733742991337,0.014172110307350595,100,0.0,0.0,0.0,0.0,0.0,0.0,0.00020084871056371298,0.0,0.0
886015d9c1fffff,0.381894112530318,0.016956423321174613,34,0.0,0.0,0.0,0.0,0.0,0.0,0.00028752029184687423,0.0,0.0
886015d9c3fffff,0.3816483366519205,0.0102188243730732,157,0.0,0.0,0.0,0.0,0.0,0.0,0.00010442437156771487,0.0,0.0
886015d9c5fffff,0.3756745723397851,0.014022959909448102,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0001966434046219887,0.0,0.0
886015d9c7fffff,0.38300048307500695,0.06179248658967529,202,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0038183113989352,0.01485148514851485,0.01485148514851485
886015d9c9fffff,0.3771277439323705,0.012425734685109071,100,0.0,0.0,0.0,0.0,0.0,0.0,0.00015439888246472264,0.0,0.0
886015d9cbfffff,0.3805232549115823,0.028635460829158077,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0008199896168982466,0.0,0.0
886015d9cdfffff,0.38581133027096576,0.09479657244528278,163,0.006134969325153374,0.012269938650306749,0.0,0.0,0.0,0.0,0.008986390147373747,0.03067484662576687,0.03067484662576687
886015d9d1fffff,0.384926160532492,0.0761740619218485,367,0.0027247956403269754,0.008174386920980926,0.0,0.0,0.0,0.0,0.005802487709673609,0.01907356948228883,0.01907356948228883
886015d9d3fffff,0.4078278067012819,0.1884559269486111,169,0.029585798816568046,0.03550295857988166,0.029585798816568046,0.0,0.0,0.0,0.03551563640206025,0.14497041420118342,0.14497041420118342
886015d9d5fffff,0.3819227303657286,0.06162510292153661,174,0.0,0.005747126436781609,0.0,0.0,0.0,0.0,0.0037976533100899804,0.011494252873563218,0.011494252873563218
886015d9d7fffff,0.388116640942895,0.10118509062860284,336,0.017857142857142856,0.011904761904761904,0.0,0.0,0.0,0.0,0.010238422565518572,0.041666666666666664,0.041666666666666664
