area,type,name,osmid
Sidhartha Colony,public_transport=station,Kuvempunagara Bus Station,243896056
Sidhartha Colony,public_transport=station,Unnamed,1066726710
Somasundarapalya,public_transport=station,Hosapalya Bus Stop,12076711792
Sri Ram Nagar,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Srinivas Nagar,bus_station,Srinagar Bus Station,954610622
Srinivasapura,bus_station,Unnamed,1329553372
Subedarpalya,public_transport=station,Yeshwanthapura TTMC,393781676
Subramanyapura,public_transport=station,AGS Layout Bus Stand,2126404931
Sudgunte Palya,bus_station,C V Raman Nagar Bus Stand,420436334
Sudhama Nagar,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Sudhama Nagara,public_transport=station,Shantinagara Bus Station,1455412266
Sultanpete,bus_station,Unnamed,11513366269
Sultanpete,public_transport=station,KR Market Bus Terminus,36885141
Sultanpete,public_transport=station,Kalasipalya Bus Stand,37339217
Sultanpete,public_transport=station,Kempegowda Bus Station,239832511
Sultanpete,public_transport=station,KSRTC Bus Terminal 3,322488099
Sultanpete,public_transport=station,KSRTC Bus Terminal 1,372031014
Sultanpete,public_transport=station,KSRTC Bus Terminal 2,1212700499
Sulthanpalya,bus_stop,Shaji Stores,5329386293
Sundar Nagar,public_transport=station,Chikkamaranahalli,446805877
Sundar Nagar,bus_station,Choudeshwari Bus Stand,287724333
Sundar Nagar,bus_station,Chikkamaranahalli,323113360
Swamy Vivekananda Ward,bus_station,Shri Vidhyanagara BMTC Bus station,420181759
Syed Block,public_transport=station,Basavanagar Bus Stand,342673830
Syed Block,bus_station,Vignananagar Bus Station,415124236
Talacauvery Layout,public_transport=station,Basavanagar Bus Stand,342673830
Talacauvery Layout,bus_station,Vignananagar Bus Station,415124236
Tasker Town,public_transport=station,Shivajinagar Bus Station,208748260
Teacher's Colony,public_transport=station,HSR Layout,3300149440
Thimmah Reddy Colony,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Tilak Nagara,public_transport=station,Jayanagar TTMC,752917438
Ullal,public_transport=station,Unnamed,1428321423
Uttarahalli,bus_station,Uttarahalli Bus Station,471760581
VS Reddy Colony,public_transport=station,Kadugodi Bus Station,130127246
VS Reddy Colony,public_transport=station,Kadugodi Bus Station,130127247
VV Nagar,bus_stop,Shaji Stores,5329386293
Valmiki Nagar,public_transport=station,Old Gudahalli,4130929491
Vannarapete,bus_station,Viveknagar Bus Station,326201186
Vannarapete,bus_station,Neelasandra,401993921
Vannarpet,bus_station,Viveknagar Bus Station,326201186
Vasanthapura,public_transport=station,ISRO Layout Bus Stand,259879354
Veerabhadra Nagara,bus_station,Shri Vidhyanagara BMTC Bus station,420181759
Vidyaranyapura,bus_station,Vidyaranyapura Bus Terminus,400455142
Vignananagara,public_transport=station,Basavanagar Bus Stand,342673830
Vignananagara,bus_station,Vignananagar Bus Station,415124236
Vijaya Nagar,public_transport=station,Hampinagara Bus Station,54148031
Vijaya Nagar,public_transport=station,Vijayanagar Bus Stand,137930290
Vijaya Nagar,public_transport=halt,Sri Siddhivinayak Temple,1283097924
Vijayashree Layout,public_transport=station,Kengeri TTMC,437563235
Vijayashree Layout,public_transport=station,Kengeri Uppanagara Bus Stand,781766935
Vikram Nagar,public_transport=station,ISRO Layout Bus Stand,259879354
Vikram Nagar,bus_station,Kumaraswamy Layout,1270568466
Vinayaka Nagar A Block,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Viniyaka Layout,public_transport=station,Hesaghatta Bus Terminal,348114212
Viswamanava Kuvempu Ward,public_transport=station,Kuvempunagara Bus Station,243896056
Vittal Nagar,public_transport=station,ISRO Layout Bus Stand,259879354
Vittal Nagar,bus_station,Kumaraswamy Layout,1270568466
Viveknagar,bus_station,Viveknagar Bus Station,326201186
Vyalikaval,public_transport=platform,Malleswaram 18th Cross,2394086882
Vyalikaval,public_transport=platform,Malleswaram 18th Cross,314075857
Xavier Layout,bus_station,Neelasandra,401993921
Yediyuru,public_transport=station,N. R. Colony Bus Station,490824219
Yelahanka,public_transport=station,Yelahanka Old Town,421956349
Yelahanka,public_transport=platform,NES Office,440327192
Yelahanka Old Town,public_transport=station,Yelahanka Old Town,421956349
Yelahanka Satellite Town,public_transport=platform,NES Office,440327192
Yelahanka Satellite Town,public_transport=station,Yelahanka New Town,1231838392
Yellagondanpalya,bus_station,Neelasandra,401993921
Yellukunte,bus_station,Mangammanapalya,1428116573
Yellukunte,public_transport=station,HSR Layout,3300149440
Yellukunte,public_transport=station,Hosapalya Bus Stop,12076711792
Yeswanthpur,bus_station,KSRTC Pickup Point,9942510003
Yeswanthpur,public_transport=station,Yeshwanthapura TTMC,393781676
